Sample ID,Bird ID,Sample Type,Capture Date,Sample Date,Detailed Capture Location,General Capture Location,Sex,Comb for ticks,Number of ticks,Nymphs,Larva,Adult,Weight with bag,Bag weight,Weight without bag,Beak length (mm),Beak Depth (mm),Tarsus Length (mm),Wing length (mm),Blood in EDTA (Y/N),Feather Sample (Y/N),Muscle Sample (Y/N),Liver Sample (Y/N),Spleen Sample (Y/N),Cloacal Swab (Y/N),Oropharyngeal Swab (Y/N),Notes
0001,N-0001,Necropsy,6-Jul-16,20-Jul-16,NAS Mayport,Jacksonville,Male,Y,0,0,0,0,,,425,55.9,14.8,,,Y,,Y,Y,Y,N,N,Weight was taken while brid was wet
0002,N-0002,Necropsy,15-Jun-16,20-Jul-16,NAS Mayport,Jacksonville,Male,Y,0,0,0,0,,,440,57.6,,,,,,Y,Y,Y,N,N,"fluff patches on chest (upper breasts) and on either side below the wings, wieght not accuract, bird wet and already cut, necropsy started originially on 7/19, completed on 7/20 at FWC along with N-001 and N-003"
0003,N-0003,Necropsy,27-May-16,20-Jul-16,NAS Jacksonville,Jacksonville,Male,Y,0,0,0,0,,,380,56.9,15.8,,,Y,,Y,Y,Y,N,N,
0004,N-0004,Necropsy,2-Jun-16,28-Jul-16,Eglin AFB- Hotel Taxiway,Valparaiso,Male,Y,0,0,0,0,330,20,310,55.3,13.9,,,Y,,Y,Y,Y,N,N,
0005,N-0005,Necropsy,16-Jun-16,28-Jul-16,Jacksonville International Airport,Jacksonville,Male,Y,0,0,0,0,390,8,382,54.1,14.6,,,Y,,Y,Y,Y,N,N,
0006,N-0006,Necropsy,16-Jun-16,28-Jul-16,Jacksonville International Airport,Jacksonville,Male,Y,0,0,0,0,345,8,337,56.5,13.9,,,Y,,Y,Y,Y,N,N,"Broken left wing, broken right leg"
0007,N-0007,Necropsy,7-Jul-16,28-Jul-16,OLF Site #8,Milton,Male,Y,0,0,0,0,380,15,365,56.9,14.3,,,Y,,Y,Y,Y,N,N,"Broken right wing, dark feet and orange streaking in beak, darker breeding feather, mature adult?, healthy- fat in thoracic cavity, muscular breasts"
0008,N-0008,Necropsy,11-Jul-16,29-Jul-16,N. Whiting Field,Milton,Female,Y,0,0,0,0,310,9,301,53.6,13.1,,,Y,,Y,Y,Y,N,N,lots of coagulated blood
0009,N-0009,Necropsy,11-Jul-16,29-Jul-16,N. Whiting Field,Milton,Female,Y,0,0,0,0,275,10,265,53.1,14.8,,,Y,,Y,Y,Y,N,N,"~25 parasites collected from bag and feather, need to ID, underweight, stomach very small and hard"
0010,N-0010,Necropsy,11-Jul-16,29-Jul-16,N. Whiting Field,Milton,Female,Y,0,0,0,0,340,9,331,56.4,12.8,,,Y,,Y,Y,Y,N,N,
0011,N-0011,Necropsy,11-Jul-16,29-Jul-16,N. Whiting Field,Milton,Female,Y,0,0,0,0,342,10,332,58.6,13.5,,,Y,,Y,Y,Y,N,N,"Damaged wings, found ectoparasites (2)"
0012,N-0012,Necropsy,11-Jul-16,29-Jul-16,N. Whiting Field,Milton,Female,Y,0,0,0,0,350,10,340,55.6,13.9,,,Y,,Y,Y,Y,N,N,
0013,N-0013,Necropsy,11-Jul-16,29-Jul-16,N. Whiting Field,Milton,Female,Y,0,0,0,0,320,10,310,57,13.5,,,Y,,Y,Y,Y,N,N,"brokem left wing, measured right"
0014,N-0014,Necropsy,11-Jul-16,29-Jul-16,N. Whiting Field,Milton,Female,Y,0,0,0,0,345,10,335,55.8,14.5,,,Y,,Y,Y,Y,N,N,
0015,N-0015,Necropsy,11-Jul-16,29-Jul-16,N. Whiting Field,Milton,Female,Y,0,0,0,0,345,9,336,55.1,14.3,,,Y,,Y,Y,Y,N,N,
0016,876-76026,Live,11-Aug-16,11-Aug-16,Hermathria South- MAERC,Lake Placid,Unknown,Y,0,0,0,0,430,55,375,55.6,16.1,55.1,240,Y,,N,N,N,Y,Y,
0017,N-0017,Necropsy,7-Jul-16,26-Aug-16,OLF Spencer,Milton,Male,Y,0,0,0,0,350,8,342,54.3,13.9,83,248,Y,,Y,Y,Y,N,N,
0018,N-0018,Necropsy,7-Jul-16,26-Aug-16,OLF Spencer,Milton,Male,Y,0,0,0,0,400,5,395,57,14.6,80,255,Y,,Y,Y,Y,N,N,
0019,N-0019,Necropsy,7-Jul-16,26-Aug-16,OLF Spencer,Milton,Female,Y,0,0,0,0,310,8,302,53.8,12.9,75.5,232,Y,,Y,Y,,N,N,
0020,N-0020,Necropsy,7-Jul-16,26-Aug-16,OLF Spencer,Milton,Female,Y,0,0,0,0,390,9,381,57.2,13.9,82.2,249,Y,,Y,Y,Y,N,N,
0021,N-0021,Necropsy,7-Jul-16,26-Aug-16,OLF Spencer,Milton,Female,Y,0,0,0,0,370,8,362,57.4,11.4,83.1,255,Y,,Y,Y,Y,N,N,
0022,N-0022,Necropsy,,26-Aug-16,Jacksonville USDA,Jacksonville,Male,Y,0,0,0,0,570,90,480,60.3,13.8,80,255,,,Y,Y,,N,N,"Clayton Jones, wet = why it's heavier?, fat around stomach"
0023,N-0023,Necropsy,9-Jun-16,31-Aug-16,Eglin AFB- approaching end of runway 19,Valparaiso,Male,Y,0,0,0,0,315,21,294,55.8,12.9,84.2,249,Y,,Y,,Y,N,N,"Broken beak/mangle neck, blood around head, small lower fluff patches, thin/unhealthy, small stomach"
0024,N-0024,Necropsy,6-Jun-16,31-Aug-16,Eglin AFB- infield corner 19/12 (runway,Valparaiso,Male,Y,0,0,0,0,320,24,296,56.2,15,79.8,241,Y,,Y,Y,Y,N,N,"small stomach, small testes"
0025,N-0025,Necropsy,5-Jul-16,31-Aug-16,Eglin AFB,Valparaiso,Female,Y,0,0,0,0,330,3,327,53.6,13.2,85.4,243,Y,,Y,Y,Y,N,N,N-0025 to N-0028 in same bag
0026,N-0026,Necropsy,5-Jul-16,31-Aug-16,Eglin AFB,Valparaiso,Female,Y,0,0,0,0,,,335,54.9,12.9,85.3,241,Y,,Y,Y,Y,N,N,N-0025 to N-0028 in same bag
0027,N-0027,Necropsy,5-Jul-16,31-Aug-16,Eglin AFB,Valparaiso,Male,Y,0,0,0,0,,,350,54.1,13.5,81.1,255,Y,,Y,Y,Y,N,N,N-0025 to N-0028 in same bag
0028,N-0028,Necropsy,5-Jul-16,31-Aug-16,Eglin AFB,Valparaiso,Male,Y,0,0,0,0,,,349,56.6,13.8,80.1,239,Y,,Y,Y,Y,N,N,N-0025 to N-0028 in same bag
0029,N-0029,Necropsy,14-Jul-16,31-Aug-16,N. Whiting Field,Milton,Female,Y,0,0,0,0,350,9.5,340.5,54.9,13.3,74.5,250,Y,,Y,Y,Y,N,N,
0030,N-0030,Necropsy,14-Jul-16,31-Aug-16,N. Whiting Field,Milton,Male,Y,0,0,0,0,400,10,390,56.7,13.9,85.5,260,Y,,Y,Y,Y,N,N,
0031,N-0031,Necropsy,14-Jul-16,31-Aug-16,N. Whiting Field,Milton,Female,Y,0,0,0,0,320,10,310,53.6,13.9,83.4,248,Y,,Y,Y,Y,N,N,
0032,N-0032,Necropsy,14-Jul-16,31-Aug-16,N. Whiting Field,Milton,Male,Y,0,0,0,0,375,15,360,59.5,11.9,88,262,Y,,Y,Y,Y,N,N,
0033,N-0033,Necropsy,14-Jul-16,31-Aug-16,N. Whiting Field,Milton,Male,Y,0,0,0,0,365,9.5,355.5,56,12.8,73.2,255,Y,,Y,Y,Y,N,N,small gonads
0034,N-0034,Necropsy,14-Jul-16,31-Aug-16,N. Whiting Field,Milton,Female,Y,0,0,0,0,345,9,336,57.1,13.9,78.5,255,Y,,Y,Y,Y,N,N,
0035,N-0035,Necropsy,14-Jul-16,31-Aug-16,N. Whiting Field,Milton,Female,Y,0,0,0,0,345,10,335,55.7,13.7,67.2,240,Y,,Y,Y,Y,N,N,broken wing
0036,N-0036,Necropsy,14-Jul-16,31-Aug-16,N. Whiting Field,Milton,Female,Y,0,0,0,0,340,10,330,58.3,15.8,79.3,250,Y,,Y,Y,Y,N,N,
0037,856-48350,Live,12-Sep-16,12-Aug-16,MAERC- Eucalyptus,Lake Placid,Unknown,Y,0,0,0,0,380,54.5,325.5,55.7,14.4,75.6,240,Y,,N,N,N,Y,Y,
0038,N-0038,Necropsy,29-Jun-16,16-Sep-16,MacDill AFB,Tampa,Female,Y,0,0,0,0,,,380,55.3,10.1,78.4,243,Y,,Y,Y,,N,N,"gavids(has eggs), abcess on intestine"
0039,N-0039,Necropsy,29-Jun-16,16-Sep-16,MacDill AFB,Tampa,Female,Y,0,0,0,0,,,280,54.3,14.3,73.2,229,Y,,Y,Y,Y,N,N,bagged with N-0038
0040,N-0040,Necropsy,14-Jul-16,16-Sep-16,KMCF (MacDill AFB),Tampa,Female,Y,0,0,0,0,,,290,48.7,12.4,75.8,241,Y,,Y,Y,Y,N,N,"like juvenile, very small and reproductive organs aren't really developed, female?"
0041,N-0041,Necropsy,6-Jul-16,16-Sep-16,KMCF (MacDill AFB),Tampa,Female,Y,0,0,0,0,330,7,323,56.3,14.7,86,255,Y,,Y,Y,Y,N,N,"flies collected, all found near gunshot wound"
0042,N-0042,Necropsy,13-Jun-16,16-Sep-16,KMCF (MacDill AFB),Tampa,Female,Y,0,0,0,0,,,340,53,11.2,79.2,245,Y,,Y,Y,Y,N,N,"burrs stuck in feathers, potential juvenile (still growing, not neceearily juvenile)"
0043,N-0043,Necropsy,20-Jun-16,16-Sep-16,MacDill AFB,Tampa,Female,Y,0,0,0,0,340,7,333,53.3,13.8,86.7,240,Y,,Y,Y,,N,N,developing yolks
0044,N-0044,Necropsy,6-Jul-16,16-Sep-16,KMCF (MacDill AFB),Tampa,Female,Y,0,0,0,0,,,,,,87.6,248,Y,,Y,Y,Y,N,N,"no head, small stomach, white intestines"
0045,856-48334,Live,19-Sep-16,19-Sep-16,MAERC- Tropical West,Lake Placid,Unknown,Y,0,0,0,0,380,60,320,57,10.9,84.7,256,Y,,N,N,N,Y,Y,
0046,856-48335,Live,26-Sep-16,26-Sep-16,MAERC- Dan's Field,Lake Placid,Unknown,Y,0,0,0,0,400,63,337,57.6,12.8,88.5,240,Y,,N,N,N,Y,Y,
0047,1056-07184,Live,26-Sep-16,26-Sep-16,MAERC- Airstrip pasture,Lake Placid,Unknown,Y,0,0,0,0,400,54,346,54.3,12.5,87.5,241,Y,,N,N,N,Y,Y,
0048,1056-07198,Live,26-Sep-16,26-Sep-16,MAERC- Airstrip pasture,Lake Placid,Unknown,Y,0,0,0,0,420,55,365,57.9,11.5,77.7,248,Y,,N,N,N,Y,Y,
0049,1056-07185,Live,9-Oct-16,9-Oct-16,MAERC- Tropical West,Lake Placid,Unknown,Y,0,0,0,0,410,55,355,56.1,15.2,85.3,240,Y,,N,N,N,Y,Y,caught with net gun
0050,1056-07186,Live,10-Oct-16,10-Oct-16,MAERC- Tropical West,Lake Placid,Unknown,Y,0,0,0,0,400,54,346,56,13.4,79.2,250,Y,,N,N,N,Y,Y,
0051,1056-07187,Live,10-Oct-16,10-Oct-16,MAERC- Tropcal East North,Lake Placid,Unknown,Y,0,0,0,0,400,53,347,55,13.8,90,241,Y,,N,N,N,Y,Y,
0052,1056-07188,Live,23-Oct-16,23-Oct-16,MAERC- Tropical West,Lake Placid,Unknown,Y,0,0,0,0,360,55,305,53.5,9.6,76.4,240,Y,,N,N,N,N,N,breeding colors almost entirely gone
0053,1056-07189,Live,23-Oct-16,23-Oct-16,MAERC- Tropical West,Lake Placid,Unknown,Y,0,0,0,0,400,55,345,56,12.1,85.3,246,Y,,N,N,N,Y,Y,"outer retrix collected, breeding plumage faint"
0054,1056-07190,Live,24-Oct-16,24-Oct-16,MAERC- Tropical West,Lake Placid,Unknown,Y,0,0,0,0,385,60,325,56,11.4,82.3,241,Y,,N,N,N,Y,Y,
0055,1056-07191,Live,24-Oct-16,24-Oct-16,MAERC- Tropical East North/Neck,Lake Placid,Unknown,Y,0,0,0,0,400,54,346,59.5,14.8,79.8,247,Y,,N,N,N,Y,Y,fenceline between tropical east north and tropical neck
0056,N-0056,Necropsy,23-Jun-16,9-Nov-16,MacDill AFB,Tampa,Male,Y,0,0,0,0,350,7,343,54.4,13.7,75.9,258,Y,Y,Y,Y,Y,N,N,
0057,N-0057,Necropsy,9-Jun-16,9-Nov-16,MacDill AFB,Tampa,Female,Y,0,0,0,0,,,372,59.8,14,78.9,242,Y,Y,Y,Y,Y,N,N,"bagged with N-0058, lots of fat on chest"
0058,N-0058,Necropsy,9-Jun-16,9-Nov-16,MacDill AFB,Tampa,Unknown,Y,0,0,0,0,380,15,365,56.5,14.1,81.5,252,Y,Y,Y,Y,Y,N,N,bagged with N-0057
0059,N-0059,Necropsy,21-Jun-16,9-Nov-16,KMCF (MacDill AFB),Tampa,Female,Y,0,0,0,0,350,10,340,59.1,14.5,84.3,230,Y,Y,Y,Y,Y,N,N,
0060,N-0060,Necropsy,2-Jun-16,9-Nov-16,KMCF (MacDill AFB),Tampa,Male,Y,0,0,0,0,360,16,344,62.1,14.4,90.7,250,Y,Y,Y,Y,Y,N,N,
0061,N-0061,Necropsy,21-Jun-16,9-Nov-16,KMCF (MacDill AFB),Tampa,Female,Y,0,0,0,0,400,15,385,54.5,13.9,77.5,249,Y,Y,Y,Y,,N,N,starting to form yolk
0062,N-0062,Necropsy,21-Jun-16,9-Nov-16,KMCF (MacDill AFB),Tampa,Male,Y,0,0,0,0,420,15,405,53.8,15.2,83.8,255,Y,Y,Y,Y,Y,N,N,fat on chest and stomach
0063,N-0063,Necropsy,13-Jul-16,9-Nov-16,KMCF (MacDill AFB),Tampa,Female,Y,0,0,0,0,365,7,358,,,78,257,Y,Y,Y,Y,Y,N,N,"no face, lots of fat on chest and stomach, yolk starting to form"
0064,N-0064,Necropsy,21-Jun-16,9-Nov-16,KMCF (MacDill AFB),Tampa,Female,Y,0,0,0,0,360,16,344,53.3,15.2,78.7,246,Y,Y,Y,Y,Y,N,N,yolk forming
0065,N-0065,Necropsy,20-Jun-16,9-Nov-16,KMCF (MacDill AFB),Tampa,Male,Y,0,0,0,0,380,15,365,56.1,15.1,79.2,244,Y,Y,Y,Y,Y,N,N,
0066,N-0066,Necropsy,3-Jun-16,11-Nov-16,KMCF (MacDill AFB),Tampa,Female,Y,0,0,0,0,375,16,359,57.4,14.2,75.1,258,Y,Y,Y,Y,Y,N,N,"forming yolk, layer over muscle- brighter color than normal fat"
0067,N-0067,Necropsy,14-Jul-16,11-Nov-16,N. Whiting Field,Milton,Female,Y,0,0,0,0,350,9.5,340.5,52,13.1,84.2,248,Y,Y,Y,Y,Y,N,N,
0068,N-0068,Necropsy,14-Jul-16,11-Nov-16,N. Whiting Field,Milton,Female,Y,0,0,0,0,320,11,309,57.4,12.6,85.1,244,Y,Y,Y,Y,Y,N,N,
0069,N-0069,Necropsy,14-Jul-16,11-Nov-16,N. Whiting Field,Milton,Male,Y,0,0,0,0,,,315,54.3,12.3,81.3,257,Y,Y,Y,Y,,N,N,"small testes, faint breeding plumange, juvenile?, lots of fat on chest and stomach"
0070,N-0070,Necropsy,14-Jul-16,11-Nov-16,N. Whiting Field,Milton,Female,Y,0,0,0,0,350,10,340,54.2,13.9,87,251,Y,Y,Y,Y,,N,N,"green fluids coming from cloaca, appears to have been shot in stomach"
0071,N-0071,Necropsy,14-Jul-16,11-Nov-16,N. Whiting Field,Milton,Male,Y,0,0,0,0,400,10,390,56.5,13.8,88.5,250,Y,Y,Y,Y,Y,N,N,
0072,N-0072,Necropsy,14-Jul-16,11-Nov-16,N. Whiting Field,Milton,Female,Y,0,0,0,0,300,9,291,60,13.9,87.4,240,Y,Y,Y,Y,,N,N,"very faint breeding colors, stomach is very small"
0073,N-0073,Necropsy,14-Jul-16,11-Nov-16,N. Whiting Field,Milton,Male,Y,0,0,0,0,300,9,291,54.5,14.4,83.8,256,Y,Y,Y,Y,Y,N,N,"juvenile- very small testes, faint breeding plumage"
0074,N-0074,Necropsy,14-Jul-16,11-Nov-16,N. Whiting Field,Milton,Male,Y,0,0,0,0,315,10,305,58.5,13.9,79.8,265,Y,Y,Y,Y,Y,N,N,
0075,N-0075,Necropsy,14-Jul-16,11-Nov-16,N. Whiting Field,Milton,Unknown,Y,0,0,0,0,410,12,398,56.5,14.9,78.7,249,Y,Y,Y,Y,,N,N,
0076,N-0076,Necropsy,20-Jun-16,11-Nov-16,KMCF (MacDill AFB),Tampa,Unknown,Y,0,0,0,0,320,12.5,307.5,54.5,13.9,87.4,245,Y,Y,Y,Y,Y,N,N,juvenile? No breeding color
0077,N-0077,Necropsy,15-Jun-16,11-Nov-16,KMCF (MacDill AFB),Tampa,Unknown,Y,0,0,0,0,320,15,305,49.5,12.9,86.9,250,Y,Y,Y,Y,Y,N,N,"believed to be female but uncertain, juvenile? Very faint breeding color, white floof bredding patches"
0078,N-0078,Necropsy,,14-Nov-16,KMCF (MacDill AFB),Tampa,Male,Y,0,0,0,0,,,390,57.9,11.4,87,255,Y,Y,Y,Y,Y,N,N,bagged with N-0079
0079,N-0079,Necropsy,,14-Nov-16,KMCF (MacDill AFB),Tampa,Female,Y,0,0,0,0,,,320,57,12.8,80.7,241,Y,Y,Y,Y,Y,N,N,bagged with N-0078
0080,N-0080,Necropsy,15-Jul-16,14-Nov-16,N. Whiting Field,Milton,Male,Y,0,0,0,0,395,10,385,60.4,13.7,92,240,Y,Y,Y,Y,Y,N,N,
0081,N-0081,Necropsy,20-Jun-16,14-Nov-16,KMCF (MacDill AFB),Tampa,Male,Y,0,0,0,0,335,18,317,55.1,13,77,243,Y,Y,Y,Y,Y,N,N,3 flies
0082,N-0082,Necropsy,15-Jul-16,14-Nov-16,N. Whiting Field,Milton,Male,Y,0,0,0,0,345,9,336,59.3,15.5,88,252,Y,Y,Y,Y,Y,N,N,
0083,N-0083,Necropsy,15-Jun-16,14-Nov-16,MacDill AFB,Tampa,Female,Y,0,0,0,0,380,6,374,55.3,13.2,82.5,265,Y,Y,Y,Y,Y,N,N,
0084,N-0084,Necropsy,15-Jun-16,14-Nov-16,MacDill AFB,Tampa,Male,Y,0,0,0,0,,,320,53,9.9,72,255,Y,Y,Y,Y,Y,N,N,
0085,N-0085,Necropsy,15-Jun-16,14-Nov-16,MacDill AFB,Tampa,Female,Y,0,0,0,0,340,7,333,54.5,13.9,78.1,244,Y,Y,Y,Y,Y,N,N,
0086,N-0086,Necropsy,15-Jul-16,14-Nov-16,N. Whiting Field,Milton,Male,Y,0,0,0,0,,,415,53.7,11.8,79.8,239,Y,Y,Y,Y,Y,N,N,
0087,N-0087,Necropsy,15-Jul-16,14-Nov-16,N. Whiting Field,Milton,Female,Y,0,0,0,0,340,9,331,58.9,14.6,76.5,255,Y,Y,Y,Y,Y,N,N,
0088,N-0088,Necropsy,11-Jul-16,14-Nov-16,OLF Spencer,Milton,Male,Y,0,0,0,0,400,9,391,58.3,13.5,94.4,257,Y,Y,Y,Y,Y,N,N,
0089,N-0089,Necropsy,15-Jul-16,14-Nov-16,N. Whiting Field,Milton,Male,Y,0,0,0,0,335,11,324,54.6,14.9,75.1,252,Y,Y,Y,Y,Y,N,N,"1 worm- found on top of liver, stored in ethanol"
0090,N-0090,Necropsy,15-Jul-16,14-Nov-16,OLF Spencer,Milton,Female,Y,0,0,0,0,345,9,336,53.6,13.8,85.3,253,Y,Y,Y,Y,Y,N,N,
0091,1056-07192,Live,13-Dec-16,13-Dec-16,MAERC- Grove,Lake Placid,Unknown,Y,0,0,0,0,360,52,308,57,10.5,90,143,Y,Y,N,N,N,Y,Y,"1 fly (unable to capture), slight breeding colors on head, none on back or chest"
0092,1056-07193,Live,13-Dec-16,13-Dec-16,MAERC- Grove,Lake Placid,Unknown,Y,0,0,0,0,460,53,407,57.4,13,93.6,251,Y,Y,N,N,N,Y,Y,
0093,1056-07194,Live,13-Dec-16,13-Dec-16,MAERC- Grove,Lake Placid,Unknown,Y,0,0,0,0,410,54,356,53.5,11.9,76.1,255,Y,Y,N,N,N,Y,Y,band upside down
0094,1056-07195,Live,13-Dec-16,13-Dec-16,MAERC- Grove,Lake Placid,Unknown,Y,0,0,0,0,390,57,333,53.9,11.7,83.8,240,Y,Y,N,N,N,Y,Y,
