General Capture Location,Long,Lat
Jacksonville,-81.6879,30.4941
Lake Placid,-81.1977,27.1546
Milton,-87.0397,30.6324
Tampa,-82.5078,27.8633
Valparaiso,-86.5027,30.5085
Homestead,-80.4776,25.4687
Key West,-81.78,24.5551
St. Louis,-90.277579,38.504965
Sarasota,-82.554352,27.394719
Belle Chasse,-90.017099,29.824576
Merritt Island,-80.60452,28.607795
South Lake,-81.876852,28.479694
Santa Rosa,-86.231483,30.390416
Preston,-88.829242,32.882161
Barksdale,-93.657226,32.499542
Valdosta,-83.19191,30.976371
,,
