ID,Location,Species,Lineage
0010L,Milton,Leucocytozoon sp.,AY-2014
0029L,Milton,Leucocytozoon sp.,AY-2014
0133L,Homestead,Leucocytozoon sp.,AY-2014
0002L,Jacksonville,Leucocytozoon sp.,Isolate B30
0003L,Jacksonville,Leucocytozoon sp.,Isolate B30
0004L,Valparaiso,Leucocytozoon sp.,Isolate B30
0009L,Milton,Leucocytozoon sp.,Isolate B30
0011L,Milton,Leucocytozoon sp.,Isolate B30
0012L,Milton,Leucocytozoon sp.,Isolate B30
0019L,Milton,Leucocytozoon sp.,Isolate B30
0021L,Milton,Leucocytozoon sp.,Isolate B30
0022L,Jacksonville,Leucocytozoon sp.,Isolate B30
0034L,Milton,Leucocytozoon sp.,Isolate B30
0035L,Milton,Leucocytozoon sp.,Isolate B30
0043L,Tampa,Leucocytozoon sp.,Isolate B30
0066L,Tampa,Leucocytozoon sp.,Isolate B30
0071L,Milton,Leucocytozoon sp.,Isolate B30
0082L,Milton,Leucocytozoon sp.,Isolate B30
0098L,Homestead,Leucocytozoon sp.,Isolate B30
0099L,Key West,Leucocytozoon sp.,Isolate B30
0105L,Homestead,Leucocytozoon sp.,Isolate B30
0106L,Homestead,Leucocytozoon sp.,Isolate B30
0121L,Homestead,Leucocytozoon sp.,Isolate B30
0127L,Homestead,Leucocytozoon sp.,Isolate B30
0142L,Jacksonville,Leucocytozoon sp.,Isolate B30
0143L,Jacksonville,Leucocytozoon sp.,Isolate B30
0004F,Valparaiso,Plasmodium paranucleophilum ,Strain CPCT57
0031F,Milton,Plasmodium paranucleophilum ,Strain CPCT57
0075F,Milton,Plasmodium sp.,Strain CPCT57
0040F,Tampa,Plasmodium elongatum,Isolate DENVID02
0074F,Milton,Plasmodium elongatum,Isolate DENVID02
0106F,Homestead,Plasmodium elongatum,Isolate DENVID02
0145F,Jacksonville,Plasmodium elongatum,Isolate DENVID02
0107F,Homestead,Plasmodium sp.,Cluster I Isolate IPRAM-ES114 
0013F,Milton,Plasmodium sp.,Clone G18
0014F,Milton,Plasmodium sp.,Clone G18
0017F,Milton,Plasmodium sp.,Clone G18
0023F,Valparaiso,Plasmodium sp.,Clone G18
0032F,Milton,Plasmodium sp.,Clone G18
0036F,Milton,Plasmodium sp.,Clone G18
0174F,Jacksonville,Plasmodium sp.,Clone G18
0026F,Valparaiso,Plasmodium sp.,Isolate PIPCHL01
0038F,Tampa,Plasmodium sp.,Isolate PIPCHL01
0083F,Tampa,Plasmodium sp.,Isolate PIPCHL01
0007F,Milton,Plasmodium sp.,NYCNYC01
0035F,Milton,Plasmodium sp.,NYCNYC01
0071F,Milton,Plasmodium sp.,NYCNYC01
0006F,Jacksonville,Plasmodium sp.,Cluster D Isolate CRAM 2278
0027F,Valparaiso,Plasmodium sp.,Cluster D Isolate CRAM 2278
0082F,Milton,Plasmodium sp.,Cluster D Isolate CRAM 2278
0117F,Key West,Plasmodium sp.,Isolate ERU-375P
0146F,Jacksonville,Plasmodium sp.,Isolate ERU-375P
0149F,Jacksonville,Plasmodium sp.,Isolate ERU-375P
0151F,Jacksonville,Plasmodium sp.,Isolate ERU-375P
0011F,Milton,Plasmodium sp.,G21
0109F,Homestead,Plasmodium sp.,G21
0113F,Homestead,Plasmodium sp.,G21
0114F,Homestead,Plasmodium sp.,G21
0115F,Key West,Plasmodium sp.,G21
0150F,Jacksonville,Plasmodium sp.,G21
0154F,Jacksonville,Plasmodium sp.,G21
0173F,Jacksonville,Plasmodium sp.,G21
